timestamp,Roll,Pitch,Yaw,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Acc Magnitude,Gyro Magnitude
0.0,-8.277062046929759,-3.4746262685268237,-130.61075765592688,0,0,0,,,,,
0.009384999999952015,-8.280144818064677,-3.484464120736616,-130.6084799481521,0,0,0,,,,,
0.01876700000002529,-8.281758833976664,-3.4959131254160307,-130.5982897360709,0,0,0.02585303783416748,,,,,
0.02814699999998993,-8.28060122737351,-3.5036286662674008,-130.65766061190646,0,0,0,,,,,
0.04693599999995968,-8.27364905864567,-3.4924313916452223,-130.68843925931992,0,0,0,,,,,
0.05630599999994956,-8.270369988649398,-3.4698223633275407,-130.69913995651982,0,0,0.02604091167449951,,,,,
0.07508399999994708,-8.273594197669546,-3.415334902246551,-130.7331210442192,0,0,0.02721250057220459,,,,,
0.08436799999992672,-8.275571163789873,-3.393100571106474,-130.74304175702977,0,0,0.026218652725219727,,,,,
0.09384000000000015,-8.27772004707629,-3.384096651324013,-130.7441978486412,0,0,0.02694690227508545,,,,,
0.10322199999995973,-8.278417072396895,-3.3863210419439476,-130.7381005227982,0,0,0.02597486972808838,,,,,
0.11261600000000271,-8.275367398048243,-3.3978719141470344,-130.72794961515436,0,0,0.0274430513381958,,,,,
0.13138199999991684,-8.275119020803567,-3.4360273419025025,-130.71647504101276,0,0,0.026749730110168457,,,,,
0.1407609999999977,-8.275425473599112,-3.4467411105991226,-130.719273016583,0,0,0.026273608207702637,,,,,
0.15014099999996233,-8.275094873145694,-3.447974434569159,-130.7264710661173,0,0,0.025542080402374268,,,,,
0.15953000000001794,-8.275003410215197,-3.4403104835064915,-130.73585923323483,0,0,0,,,,,
0.16892599999994218,-8.27155720620395,-3.4287458928998524,-130.7440617158935,0,0,0,,,,,
0.17829199999994216,-8.263702712145472,-3.4199243142303706,-130.74976845114222,0,0,0.02646040916442871,,,,,
0.18766699999991943,-8.249445267547177,-3.416570516674565,-130.75146772368686,0,0,0.028373360633850098,,,,,
0.19706599999994978,-8.228929386737734,-3.4185281907494374,-130.74929004644977,0,0,0.02930009365081787,,,,,
0.2064460000000281,-8.205580248303903,-3.4227612096928657,-130.74565760134738,0,0,0.03217428922653198,,,,,
0.21584499999994478,-8.183008031928741,-3.4268949225063565,-130.7441904126715,0,0,0.03480654954910278,,,,,
0.22521999999992204,-8.162121739014848,-3.4314107590366882,-130.74706548385763,0,0,0.034515321254730225,,,,,
0.23460199999999531,-8.14539646719705,-3.437524529273005,-130.75650852675355,0,0,0.034480273723602295,,,,,
0.25336800000002313,-8.130202885116494,-3.460619035084335,-130.78271138706177,0,0,0.028854846954345703,,,,,
0.26274899999998524,-8.12900903993179,-3.4790757486638744,-130.78939037586005,0.02591807395219803,0,0,,,,,
0.28152000000000044,-8.123351651081062,-3.5275177483732882,-130.78171338457503,0.030197933316230774,0,0,,,,,
0.29092400000001817,-8.114408127312869,-3.5551753774239137,-130.7736538631996,0.030691999942064285,0,0,,,,,
0.30028600000002825,-8.099445533488455,-3.581572361789646,-130.76710134918125,0.029012031853199005,0,0.025247633457183838,,,,,
0.30966300000000047,-8.082638581546345,-3.6013931764894958,-130.76306915101,0.0257386714220047,0,0.026691913604736328,,,,,
0.3190599999999222,-8.066710613681515,-3.6131965533490904,-130.76067759004914,0,0,0.03056967258453369,,,,,
0.3284439999999904,-8.056227012254922,-3.6178145375766944,-130.75837979287056,0,0,0.03054910898208618,,,,,
0.3378309999999374,-8.05161618579634,-3.617897785614284,-130.75970200828806,0,0,0.029561996459960938,,,,,
0.3471959999999399,-8.053526281840766,-3.6158756301897377,-130.76553729285376,0,0,0.030052363872528076,,,,,
0.3659749999999349,-8.064528563291095,-3.6027188711593605,-130.7818039496429,0,0,0.028356850147247314,,,,,
0.37535800000000563,-8.070478020978484,-3.59666743764993,-130.7841782443248,0,0,0.027144908905029297,,,,,
0.3847449999999526,-8.07628583920581,-3.593385524243581,-130.77892799141011,0,0,0.02593553066253662,,,,,
